Estado,Año,Alcoholicos,Adictos_tabaco,Adictos_Marihuana,Habitantes
New Mexico,2017,66,348,225,1351993
New York,2017,680,2432,1589,13260774
North Carolina,2017,312,1724,691,6764669
North Dakota,2017,27,128,43,469643
Ohio,2017,364,2144,823,7695525
Oklahoma,2017,140,754,255,2479838
Oregon,2017,199,608,723,2839447
Pennsylvania,2017,398,2228,986,8642237
Rhode Island,2017,44,147,124,711511
South Carolina,2017,171,940,383,3345950
South Dakota,2017,34,151,52,550564
Tennessee,2017,193,1316,473,4443021
Texas,2017,734,4059,1498,17545587
Utah,2017,72,295,147,1780017
Vermont,2017,29,101,91,428613
Virginia,2017,265,1121,498,5542540
Washington,2017,272,1135,1052,4970994
West Virginia,2017,49,452,154,1238942
Wisconsin,2017,235,934,423,3833603
Wyoming,2017,19,104,39,375569
Alabama,2018,167,1012,417,3225318
Alaska,2018,31,113,106,455906
Arizona,2018,212,958,666,4715857
Arkansas,2018,93,619,230,1949363
California,2018,1586,3880,4476,25917724
Colorado,2018,302,819,903,3782655
Connecticut,2018,138,474,377,2408141
Delaware,2018,39,159,101,659878
District of Columbia,2018,43,95,115,479448
Florida,2018,564,3120,1890,14896983
Georgia,2018,298,1587,873,6756292
Hawaii,2018,52,175,135,939985
Idaho,2018,58,238,133,1119507
Illinois,2018,445,1831,1170,8378609
Indiana,2018,228,1304,603,4312382
Iowa,2018,105,554,199,2032017
Kansas,2018,86,495,226,1827127
Kentucky,2018,142,974,378,2917791
Louisiana,2018,168,929,304,2992047
Maine,2018,51,202,214,955772
Maryland,2018,189,837,521,4017859
Massachusetts,2018,261,875,874,4680619
Michigan,2018,362,1693,1189,6657456
Minnesota,2018,193,816,506,3698785
Mississippi,2018,89,631,195,1894943
Missouri,2018,199,1041,506,4022731
Montana,2018,50,205,124,712413
Nebraska,2018,64,297,133,1215009
Nevada,2018,121,463,451,2046371
New Hampshire,2018,54,190,173,945381
New Jersey,2018,244,1003,651,5989388
New Mexico,2018,68,340,250,1364936
New York,2018,645,2469,1913,13191928
North Carolina,2018,341,1821,885,6865689
North Dakota,2018,27,127,47,473049
Ohio,2018,377,2207,1021,7734940
Oklahoma,2018,130,794,328,2497934
Oregon,2018,192,621,718,2880798
Pennsylvania,2018,406,2184,1207,8675385
Rhode Island,2018,43,152,145,714973
South Carolina,2018,169,968,439,3407157
South Dakota,2018,30,141,48,557354
Tennessee,2018,205,1274,523,4497884
Texas,2018,779,4015,1774,17862401
Utah,2018,70,282,178,1821899
Vermont,2018,27,97,100,430733
Virginia,2018,267,1234,518,5581639
Washington,2018,282,1150,1199,5065742
West Virginia,2018,46,438,144,1235448
Wisconsin,2018,217,917,466,3861670
Wyoming,2018,22,107,38,377084
